"name", "type"
"ABIM", "district"
"ADJUMANI", "district"
"AGAGO", "district"
"ALEBTONG", "district"
"AMOLATAR", "district"
"AMUDAT", "district"
"AMURIA", "district"
"AMURU", "district"
"APAC", "district"
"ARUA", "district"
"BUDAKA", "district"
"BUDUDA", "district"
"BUGIRI", "district"
"BUHWEJU", "district"
"BUIKWE", "district"
"BUKEDEA", "district"
"BUKOMANSIMBI", "district"
"BUKWO", "district"
"BULAMBULI", "district"
"BULIISA", "district"
"BUNDIBUGYO", "district"
"BUSHENYI", "district"
"BUSIA", "district"
"BUTALEJA", "district"
"BUTAMBALA", "district"
"BUVUMA", "district"
"BUYENDE", "district"
"DOKOLO", "district"
"GOMBA", "district"
"GULU", "district"
"HOIMA", "district"
"IBANDA", "district"
"IGANGA", "district"
"ISINGIRO", "district"
"JINJA", "district"
"KAABONG", "district"
"KABALE", "district"
"KABAROLE", "district"
"KABERAMAIDO", "district"
"KALANGALA", "district"
"KALIRO", "district"
"KALUNGU", "district"
"KAMPALA", "district"
"KAMULI", "district"
"KAMWENGE", "district"
"KANUNGU", "district"
"KAPCHORWA", "district"
"KASESE", "district"
"KATAKWI", "district"
"KAYUNGA", "district"
"KIBAALE", "district"
"KIBOGA", "district"
"KIBUKU", "district"
"KIRUHURA", "district"
"KIRYANDONGO", "district"
"KISORO", "district"
"KITGUM", "district"
"KOBOKO", "district"
"KOLE", "district"
"KOTIDO", "district"
"KUMI", "district"
"KWEEN", "district"
"KYANKWANZI", "district"
"KYEGEGWA", "district"
"KYENJOJO", "district"
"LAMWO", "district"
"LIRA", "district"
"LUUKA", "district"
"LUWEERO", "district"
"LWENGO", "district"
"LYANTONDE", "district"
"MANAFWA", "district"
"MARACHA", "district"
"MASAKA", "district"
"MASINDI", "district"
"MAYUGE", "district"
"MBALE", "district"
"MBARARA", "district"
"MITOOMA", "district"
"MITYANA", "district"
"MOROTO", "district"
"MOYO", "district"
"MPIGI", "district"
"MUBENDE", "district"
"MUKONO", "district"
"NAKAPIRIPIRIT", "district"
"NAKASEKE", "district"
"NAKASONGOLA", "district"
"NAMAYINGO", "district"
"NAMUTUMBA", "district"
"NAPAK", "district"
"NEBBI", "district"
"NGORA", "district"
"NTOROKO", "district"
"NTUNGAMO", "district"
"NWOYA", "district"
"OTUKE", "district"
"OYAM", "district"
"PADER", "district"
"PALLISA", "district"
"RAKAI", "district"
"RUBIRIZI", "district"
"RUKUNGIRI", "district"
"SERERE", "district"
"SHEEMA", "district"
"SIRONKO", "district"
"SOROTI", "district"
"SSEMBABULE", "district"
"TORORO", "district"
"WAKISO", "district"
"YUMBE", "district"
"ZOMBO", "district"