DistrictName,SubCountyName
BUSIA,BUHEHE
BUSIA,BULUMBI
BUSIA,BUSIA TC
BUSIA,BUSITEMA
PALLISA,AGULE
BUSIA,BUTEBA
BUSIA,DABANI
BUSIA,LUMINO
BUSIA,LUNYO
BUSIA,MASABA
PALLISA,APOPONG
BUSIA,MASAFU
PALLISA,BUTEBO
PALLISA,KABWANGASI
PALLISA,KAKORO
PALLISA,KIBALE
PALLISA,PETETE
PALLISA,GOGONYO
PALLISA,KAMEKE
PALLISA,KASODO
PALLISA,PALLISA
PALLISA,PALLISA TC
PALLISA,PUTI-PUTI
PALLISA,KAMUGE
TORORO,KWAPA
TORORO,MELLA
TORORO,MERIKIT
TORORO,MOLO
MBALE,WANALE DIVISION
TORORO,MUKUJU
TORORO,OSUKURU
TORORO,TORORO EAST DIV
TORORO,TORORO WEST DIV
BUDAKA,KADERUNA
TORORO,IYOLWA
TORORO,KIREWA
TORORO,KISOKO
TORORO,MULANDA
TORORO,NABUYOGA
BUTALEJA,NAWANJOFU
TORORO,NAGONGERA
TORORO,PAYA
TORORO,PETTA
TORORO,RUBONGI
BUDAKA,BUDAKA
BUDAKA,IKI-IKI
BUDAKA,KAMONKOLI
BUDAKA,LYAMA
BUDAKA,NABOA
BUDAKA,KAMERUKA
BUTALEJA,BUDUMBA
BUTALEJA,BUSABA
BUTALEJA,BUSOLWE
BUTALEJA,KACHONGA
BUTALEJA,NAZIMASA
BUTALEJA,BUTALEJA
KIBUKU,BULANGIRA
KIBUKU,BUSETA
KIBUKU,KIBUKU
KIBUKU,KADAMA
MANAFWA,BUBUTU
KIBUKU,TIRINYI
KIBUKU,KAGUMU
KIBUKU,KIRIKA
BUTALEJA,BUSABI
BUTALEJA,HIMUTU
BUTALEJA,NAWEYO
TORORO,MAGOLA
TORORO,MALABA TC
TORORO,NAGONGERA TC
TORORO,SOPSOP
BUDAKA,BUDAKA TC
BUTALEJA,BUSOLWE TC
BUTALEJA,BUTALEJA TC
MBALE,BUFUMBO
KATAKWI,KAPUJAN
KATAKWI,KATAKWI
KATAKWI,KATAKWI TC
KATAKWI,MAGORO
KUMI,KANYUM
KATAKWI,NGARIAM
KATAKWI,TOROMA
KATAKWI,USUK
SOROTI,SOROTI WEST DIV
KATAKWI,ONGONGOJA
KATAKWI,OMODOI
KUMI,ATUTUR
KUMI,KUMI
KUMI,KUMI TC
KUMI,MUKONGORO
KUMI,NYERO
KUMI,ONGINO
KABERAMAIDO,ALWA
SOROTI,ARAPAI
SOROTI,ASURET
SOROTI,GWERI
SOROTI,KAMUDA
MBALE,NORTHERN DIVISION
SOROTI,KATINE
SOROTI,SOROTI
SOROTI,TUBUR
SOROTI,SOROTI EAST DIV
SOROTI,SOROTI NORTH DIV
KABERAMAIDO,KABERAMAIDO
KABERAMAIDO,KOBULUBULU
KABERAMAIDO,OCHERO
KABERAMAIDO,KABERAMAIDO TC
KABERAMAIDO,ANYARA
KABERAMAIDO,BULULU
KABERAMAIDO,KALAKI
KABERAMAIDO,OTUBOI
AMURIA,ABARILELA
AMURIA,ASAMUK
AMURIA,KUJU
AMURIA,ORUNGO
AMURIA,WERA
AMURIA,MORUNGATUNY
AMURIA,KAPELEBYONG
AMURIA,ACOWA
BUKEDEA,KACHUMBALA
BUKEDEA,KIDONGOLE
AMURIA,OBALANGA
BUKEDEA,BUKEDEA
SERERE,KADUNGULU
BUKEDEA,KOLIR
BUKEDEA,MALERA
SERERE,BUGONDO
SERERE,PINGIRE
SERERE,ATIIRA
SERERE,KATETA
SERERE,KYERE
SERERE,OLIO
NGORA,KAPIR
NGORA,KOBWIN
NGORA,MUKURA
NGORA,NGORA
AMURIA,AMURIA TC
BUKEDEA,BUKEDEA TC
MBALE,BUKONDE
MBALE,BUKYIENDE
MBALE,BUNGOKHO
MBALE,BUNGOKHO-MUTOTO
MBALE,BUSANO
MBALE,INDUSTRIAL DIVISION
MBALE,BUSIU
MBALE,BUSOBA
MBALE,NAKALOKE
MBALE,NAMANYONYI
MBALE,WANALE
BUDUDA,BUDUDA
BUDUDA,BUKIBOKOLO
BUDUDA,BUKIGAI
BUDUDA,BULUCHEKE
BUDUDA,BUMAYOKA
BUDUDA,BUSHIKA
MANAFWA,BUGOBERO
BUKWO,BUKWA
BUKWO,CHESOWER
BUKWO,KABEI
BUKWO,SUAM
MANAFWA,BUMBO
MANAFWA,BUMWONI
MANAFWA,BUPOTO
MANAFWA,BUTIRU
MANAFWA,BUWABWALA
MANAFWA,BUWAGOGO
MANAFWA,KAATO
MANAFWA,SIBANGA
BULAMBULI,BUGINYANYA
BULAMBULI,SISIYI
KAPCHORWA,GAMOGO
BULAMBULI,BUKHALU
BULAMBULI,BULAGO
BULAMBULI,BULEGENI
BULAMBULI,BULUGANYA
BULAMBULI,BUNAMBUTYE
BULAMBULI,MASIIRA
BULAMBULI,MUYEMBE
KWEEN,BENET
KWEEN,BINYINY
KWEEN,KAPRORON
BUDUDA,NABWEYA
KWEEN,KWANYINY
KWEEN,NGENGE
SIRONKO,BUHUGU
SIRONKO,BUMASIFWA
SIRONKO,BUSULANI
BUDUDA,NAKATSI
SIRONKO,BUTANDIGA
SIRONKO,BUTEZA
SIRONKO,BUWALASI
SIRONKO,BUYOBO
BUDUDA,NALWANZA
BUDUDA,BUDUDA TC
SIRONKO,SIRONKO TC
SIRONKO,ZESUI
SIRONKO,BUKHULO
KAPCHORWA,CHEMA
KAPCHORWA,KAPCHORWA TC
KAPCHORWA,KAPTANYA
KAPCHORWA,KASEREM
KAPCHORWA,KAWOWO
KAPCHORWA,SIPI
BUDUDA,BUBIITA
KAPCHORWA,TEGERES
BUDUDA,BUKALASI
BUDUDA,BUSHIRIBO
BUDUDA,BUSHIYI
BUDUDA,BUWAALI
BUDUDA,BUMASHETI
KWEEN,KWOSIR
MANAFWA,BUKOKHO
MANAFWA,BUSUKUYA
MANAFWA,BUTTA
MANAFWA,MAGALE
MANAFWA,MANAFWA TC
MANAFWA,LWAKHAKHA TC
MANAFWA,NAMBOKO
MANAFWA,BUKUSU
MANAFWA,BUNABWANA
MANAFWA,KHABUTOOLA
MANAFWA,NAMABYA
MANAFWA,SISUNI
MANAFWA,MUKOTO
MANAFWA,TSEKULULU
MBALE,BUBYANGU
MBALE,BUKASAKYA
MBALE,BUMASIKYE
MBALE,BUDWALE
MBALE,LUKHONGE
MBALE,LWASSO
MBALE,NYONDO
BUKWO,BUKWO TC
ADJUMANI,ADJUMANI TC
ADJUMANI,ADROPI
ARUA,ADUMI
KOLE,AKALO
ADJUMANI,CIFORO
ADJUMANI,DZAIPI
ADJUMANI,OFUA
ADJUMANI,PAKELLE
ARUA,ARUA HILL
ARUA,OLI RIVER
ARUA,AROI
ARUA,DADAMU
ARUA,MANIBE
ARUA,OGOKO
ARUA,OLUKO
ARUA,PAJULU
ARUA,OFFAKA
MOYO,LEFORI
ARUA,OKOLLO
ARUA,RHINO CAMP
ARUA,RIGBO
ARUA,ULEPPI
ARUA,AJIA
ARUA,ARIVU
MOYO,METU
ARUA,LOGIRI
ARUA,VURRA
MOYO,ALIBA
MOYO,MOYO TC
MASAKA,KATWE/BUTEGO
MOYO,GIMARA
MOYO,ITULA
MOYO,DUFILE
MOYO,MOYO
NEBBI,PAKWACH TC
NEBBI,PANYANGO
NEBBI,WADELAI
MASAKA,KIMANYA/KYABAKUZA
NEBBI,ERUSSI
NEBBI,KUCWINY
NEBBI,AKWORO
MASAKA,NYENDO/SENYANGE
NEBBI,NEBBI
NEBBI,NEBBI TC
YUMBE,APO
NEBBI,NYARAVUR
NEBBI,PANYIMUR
NEBBI,PAKWACH
NEBBI,PAROMBO
YUMBE,DRAJANI
YUMBE,KEI
YUMBE,KURU
MUBENDE,MUBENDE TC
YUMBE,MIDIGO
YUMBE,ODRAVU
MARACHA,NYADRI
YUMBE,ROMOGI
YUMBE,YUMBE TC
KOBOKO,KOBOKO TC
MARACHA,OLEBA
KOBOKO,KULUBA
KOBOKO,LOBULE
MARACHA,OLUVU
MARACHA,TARA
KOBOKO,LUDARA
KOBOKO,MIDIA
MARACHA,YIVU
MARACHA,OLUFFE
MARACHA,KIJOMORO
MARACHA,AII-VU
MARACHA,BELEAFE
MARACHA,KATRINI
MARACHA,ODUPI
MARACHA,OMUGO
MARACHA,URIAMA
ZOMBO,ATYAK
BUIKWE,LUGAZI TC
ZOMBO,JANGOKORO
ZOMBO,KANGO
ZOMBO,PAIDHA TC
ZOMBO,NYAPEA
ZOMBO,PAIDHA
BUIKWE,NAJJA
ZOMBO,ZEU
KOBOKO,ABUKU
KOBOKO,DRANYA
KITGUM,KITGUM MATIDI
GULU,AWACH
GULU,BUNGATIRA
IGANGA,NAWANDALA
GULU,PAICHO
GULU,PALARO
GULU,PATIKO
GULU,BAR-DEGE
GULU,LAROO
GULU,LAYIBI
GULU,PECE
GULU,BOBI
GULU,KORO
AMOLATAR,AWELO
GULU,LAKWANA
GULU,LALOGI
KITGUM,LABONGO AKWANG
GULU,ODEK
GULU,ONGAKO
KITGUM,KITGUM TC
KITGUM,LABONGO AMIDA
KITGUM,LABONGO LAYAMO
LAMWO,LOKUNG
KITGUM,LAGORO
KITGUM,MUCWINI
KITGUM,NAMOKORA
KITGUM,OMIYA ANYIMA
KITGUM,OROM
MUKONO,MUKONO TC
AGAGO,WOL
AGAGO,LAPONO
LAMWO,PADIBE EAST
AGAGO,ADILANG
LAMWO,PADIBE WEST
AGAGO,LIRA PALWO
AGAGO,PAIMOL
PADER,ACHOLIBUR
AGAGO,LUKOLE
AGAGO,OMOT
DOKOLO,KANGAI
AGAGO,PARABONGO
AMURU,LAMOGI
AGAGO,PATONGO
AGAGO,KALONGO TC
AMURU,AMURU
LAMWO,AGORO
AMURU,ATIAK
AMURU,PABBO
LAMWO,MADI OPEI
LAMWO,PALABEK OGILI
LAMWO,PALABEK GEM
LAMWO,PALABEK KAL
LAMWO,PALOGA
NWOYA,ALERO
NWOYA,ANAKA
NWOYA,PURONGO
NWOYA,KOCH GOMA
PADER,ATANGA
PADER,AWERE
PADER,KILAK
ABIM,LOTUKEI
PADER,LAGUTI
PADER,PAJULE
PADER,LAPUL
PADER,PADER TC
PADER,PURANGA
PADER,OGOM
NAKAPIRIPIRIT,LOREGAE
PADER,ANGAGURA
PADER,LATANYA
GULU,UNYAMA
AMURU,AMURU TC
KOTIDO,KACHERI
KOTIDO,KOTIDO
KOTIDO,KOTIDO TC
KOTIDO,NAKAPELIMORU
KOTIDO,PANYANGARA
KOTIDO,RENGEN
NAKAPIRIPIRIT,KAKOMONGOLE
NAKAPIRIPIRIT,MORUITA
NAKAPIRIPIRIT,NAKAPIRIPIRIT TC
DOKOLO,KWERA
NAKAPIRIPIRIT,NAMALU
ABIM,MORULEM
NAKAPIRIPIRIT,LOLACHAT
NAKAPIRIPIRIT,LORENGEDWAT
NAKAPIRIPIRIT,NABILATUK
ABIM,ABIM
ABIM,ALEREK
ABIM,NYAKWAE
KAABONG,KAABONG TC
KAABONG,KALAPATA
KAABONG,KARENGA
NAPAK,LOTOME
KAABONG,KATHILE
KAABONG,LOLELIA
KAABONG,LOYORO
LIRA,LIRA CENTRAL DIV
KAABONG,SIDOK
KAABONG,KAABONG
AMUDAT,AMUDAT
KAABONG,KAWALAKOL
AMUDAT,KARITA
KAABONG,KAPEDO
AMUDAT,LOROO
MOROTO,KATIKEKILE
LIRA,OJWINA
LIRA,RAILWAY
MOROTO,NADUNGET
DOKOLO,AGWATA
MOROTO,RUPA
MOROTO,NORTHERN DIVISION
MOROTO,SOUTHERN DIVISION
DOKOLO,BATTA
MOROTO,TAPAC
NAPAK,IRIIRI
DOKOLO,DOKOLO
NAPAK,LOKOPO
NAPAK,LOPEI
NAPAK,MATANY
NAPAK,NGOLERIET
KAABONG,LOBALANGIT
MUKONO,NABAALE
OYAM,ABER
OYAM,ACABA
OYAM,ICEME
OYAM,LORO
OYAM,MINAKULU
OYAM,ABOK
OYAM,OTWAL
ALEBTONG,ABAKO
ALEBTONG,ALOI
NAKASONGOLA,NAKASONGOLA TC
ALEBTONG,AMUGO
ALEBTONG,APALA
AMOLATAR,MUNTU
ALEBTONG,OMORO
KOLE,ABOKE
LIRA,ADEKOKWOK
LIRA,AMACH
LIRA,AROMO
LIRA,BARR
LIRA,LIRA
LIRA,OGUR
LIRA,ADYEL
KOLE,ALITO
KOLE,AYER
KOLE,BALA
OTUKE,ADWARI
OTUKE,OKWANG
OTUKE,OLILIM
AMOLATAR,NAMASALE
APAC,ABONGOMOLA
OTUKE,ORUM
AMOLATAR,APUTI
APAC,ADUKU
APAC,CHAWENTE
APAC,INOMO
APAC,NAMBIESO
BUNDIBUGYO,BUBANDI
APAC,AKOKORO
APAC,APAC
APAC,APAC TC
APAC,CEGERE
HOIMA,BUHANIKA
APAC,IBUJE
OYAM,NGAI
AMOLATAR,AMOLATAR TC
DOKOLO,DOKOLO TC
OYAM,OYAM TC
HOIMA,BUSERUKA
HOIMA,BUSIISI
HOIMA,HOIMA TC
HOIMA,KIGOROBYA TC
HOIMA,KIGOROBYA
HOIMA,KITOBA
MASINDI,KARUJUBU
HOIMA,KYABIGAMBIRE
HOIMA,BUGAMBE
HOIMA,BUHIMBA
HOIMA,KABWOYA
HOIMA,KIZIRANFUMBI
HOIMA,KYANGWALI
KIBAALE,BWANSWA
KIBAALE,KAKINDO
KIBAALE,KASAMBYA
KIBAALE,KISIITA
KIBAALE,NALWEYO
KIBAALE,NKOOKO
MASINDI,MIIRYA
KIBAALE,BWIKARA
KIBAALE,KAGADI
MASINDI,NYANGAHYA
KIBAALE,KIRYANGA
KIBAALE,KYANAISOKE
KIBAALE,MABAALE
BUNDIBUGYO,BUBUKWANGA
KIBAALE,MPEEFU
KIBAALE,MUHORO
BUNDIBUGYO,BUNDIBUGYO TC
KIBAALE,RUGASHARI
KIBAALE,BWAMIRAMIRA
KIBAALE,KIBAALE TC
KIBAALE,KYEBANDO
KIBAALE,MATALE
KIBAALE,MUGARAMA
MASINDI,BUDONGO
BULIISA,BIISO
MASINDI,PAKANYI
BULIISA,BULIISA
MASINDI,BWIJANGA
MASINDI,KIMENGO
MASINDI,MASINDI TC
RAKAI,LWAMAGGWA
KIRYANDONGO,KIGUMBA
KIRYANDONGO,MASINDI PORT
