DistrictName,SubCountyName
KALANGALA,BUJUMBA
KALANGALA,KALANGALA TC
KALANGALA,MUGOYE
KALANGALA,BUBEKE
KALANGALA,BUFUMIRA
KALANGALA,KYAMUSWA
KALANGALA,MAZINGA
KAMPALA,CENTRAL DIVISION
KAMPALA,NAKAWA DIVISION
KAMPALA,KAWEMPE DIVISION
KAMPALA,LUBAGA DIVISION
KAMPALA,MAKINDYE DIVISION
KAMPALA,LUBAGA DIVISION
KAMPALA,NAKAWA DIVISION
KAMPALA,MAKINDYE DIVISION
KAMPALA,NAKAWA DIVISION
KAMPALA,CENTRAL DIVISION
KAMPALA,KAWEMPE DIVISION
KAMPALA,LUBAGA DIVISION
KIBOGA,KIBIGA
KIBOGA,KIBOGA TOWN COUNCIL
KIBOGA,LWAMATA
KIBOGA,MUWANGA
KIBOGA,BUKOMERO
KIBOGA,BUKOMERO TC
KIBOGA,DDWANIRO
KIBOGA,KAPEKE
KIBOGA,KIBIGA
LUWERO,KATIKAMU
LUWERO,LUWEERO TOWN COUNCIL
LUWERO,LUWERO
LUWERO,MAKULUBITA
LUWERO,NYIMBWA
LUWERO,WOBULENZI TOWN COUNCIL
LUWERO,BAMUNANIKA
LUWERO,KALAGALA
LUWERO,KAMIRA
LUWERO,KIKYUSA
LUWERO,ZIROBWE
LUWERO,BOMBO TOWN COUNCIL
LUWERO,BUTUNTUMULA
LUWERO,KATIKAMU
MASAKA,MUKUNGWE
MASAKA,KATWE/BUTEGO
MASAKA,KIMAANYA/KYABAKUZA
MASAKA,NYENDO-SSENYANGE
MASAKA,BUKAKATA
MASAKA,BUWUNGA
MASAKA,KABONERA
MASAKA,KYANNAMUKAAKA
MASAKA,KYESIIGA
MASAKA,MUKUNGWE
MPIGI,BUWAMA
MPIGI,KAMMENGO
MPIGI,KIRINGENTE
MPIGI,KITUNTU
MPIGI,MPIGI TOWN COUNCIL
MPIGI,MUDUUMA
MPIGI,NKOZI
MUBENDE,BUTOLOOGO
MUBENDE,KITENGA
MUBENDE,KIYUNI
MUBENDE,MADUDU
MUBENDE,MUBENDE TC
MUBENDE,BAGEZZA
MUBENDE,KASAMBYA
MUBENDE,KIBALINGA
MUBENDE,KIGANDO
MUBENDE,NABINGOOLA
MUBENDE,BUKUYA
MUBENDE,KITUMBI
MUBENDE,MAKOKOTO
MUBENDE,MANYOGASEKA
MUBENDE,MYANZI
MUBENDE,NALUTUNTU
MUBENDE,BUKUYA
MUBENDE,KALWANA
MUBENDE,KASSANDA
MUBENDE,KIGANDA
MUBENDE,KITUMBI
MUKONO,KYAMPISI
MUKONO,MPATTA
MUKONO,MPUNGE
MUKONO,NAKISUNGA
MUKONO,NAMA
MUKONO,NTENJERU
MUKONO,CENTRAL DIVISION
MUKONO,NABBAALE
MUKONO,NAGOJJE
MUKONO,NTUNDA
MUKONO,SEETA-NAMUGANGA
MUKONO,KOOME
MUKONO,KYAMPISI
MUKONO,CENTRAL DIVISION
MUKONO,GOMA DIVISION
MUKONO,KASAWO
MUKONO,KIMENYEDDE
NAKASONGOLA,KALUNGI
NAKASONGOLA,LWABIYATA
NAKASONGOLA,LWAMPANGA
NAKASONGOLA,MIGEERA TOWN COUNCIL
NAKASONGOLA,NABISWEERA
NAKASONGOLA,NAKASONGOLA TOWN COUNCIL
NAKASONGOLA,NAKITOMA
NAKASONGOLA,WABINYONYI
NAKASONGOLA,KAKOOGE
NAKASONGOLA,KAKOOGE TOWN COUNCIL
NAKASONGOLA,KALONGO
NAKASONGOLA,KALUNGI
RAKAI,KIZIBA
RAKAI,KYALULANGIRA
RAKAI,LWAMAGWA
RAKAI,LWANDA
RAKAI,RAKAI TOWN COUNCIL
RAKAI,KABIRA
RAKAI,KALISIZO
RAKAI,KALISIZO TOWN COUNCIL
RAKAI,KAKUUTO
RAKAI,KASASA
RAKAI,KALISIZO TOWN COUNCIL
RAKAI,KASAALI
RAKAI,KIRUMBA
RAKAI,KYOTERA TOWN COUNCIL
RAKAI,LWANKONI
RAKAI,NABIGASA
RAKAI,KASASA
RAKAI,KIBANDA
RAKAI,KIFAMBA
RAKAI,KYEBE
RAKAI,BYAKABANDA
RAKAI,DDWANIRO
RAKAI,KACHEERA
RAKAI,KAGAMBA
RAKAI,KIZIBA
SSEMBABULE,LUGUSULU
SSEMBABULE,LWEBITAKULI
SSEMBABULE,MATEETE
SSEMBABULE,LWEMIYAGA
SSEMBABULE,NTUSI
SSEMBABULE,LUGUSULU
SSEMBABULE,MATEETE
SSEMBABULE,MATEETE TC
SSEMBABULE,MIJWALA
SSEMBABULE,SEMBABULE TOWN COUNCIL
KAYUNGA,BBAALE
KAYUNGA,GALIRAAYA
KAYUNGA,KAYONZA
KAYUNGA,KITIMBWA
KAYUNGA,BUSANA
KAYUNGA,KANGULUMIRA
KAYUNGA,KAYUNGA
KAYUNGA,KAYUNGA TOWN COUNCIL
KAYUNGA,NAZIGO
WAKISO,BUSSI
WAKISO,NSANGI
WAKISO,SSISA
WAKISO,WAKISO
WAKISO,MASULITA
WAKISO,MASULITA TOWN COUNCIL
WAKISO,MENDE
WAKISO,NAMAYUMBA
WAKISO,NAMAYUMBA TOWN COUNCIL
WAKISO,NSANGI
WAKISO,WAKISO
WAKISO,WAKISO TOWN COUNCIL
WAKISO,DIVISION A
WAKISO,DIVISION B
WAKISO,BUSSI
WAKISO,KAKIRI
WAKISO,KAKIRI TOWN COUNCIL
WAKISO,KASANJE
WAKISO,KATABI
WAKISO,MASULITA
WAKISO,DIVISION B
WAKISO,BUSUKUMA
WAKISO,GOMBE
WAKISO,KIRA TOWN COUNCIL
WAKISO,MAKIDYE-SSABAGABO
WAKISO,NABWERU
WAKISO,NANGABO
WAKISO,NANSANA TOWN COUNCIL
WAKISO,KIRA TOWN COUNCIL
WAKISO,MAKIDYE-SSABAGABO
WAKISO,NABWERU
WAKISO,NANSANA TOWN COUNCIL
LYANTONDE,KALIIRO
LYANTONDE,KASAGAMA
LYANTONDE,KINUUKA
LYANTONDE,LYANTONDE
LYANTONDE,LYANTONDE TC
LYANTONDE,MPUMUDDE
MITYANA,BANDA
MITYANA,BUTAYUNJA
MITYANA,KAKINDU
MITYANA,MAANYI
MITYANA,MALANGALA
MITYANA,BULERA
MITYANA,BUSIMBI
MITYANA,SSEKANYONYI
MITYANA,BUSIMBI
MITYANA,KALANGALO
MITYANA,KIKANDWA
MITYANA,MITYANA TOWN COUNCIL
MITYANA,NAMUNGO
MITYANA,SSEKANYONYI
NAKASEKE,BUTALANGU TOWN COUNCIL
NAKASEKE,KAPEEKA
NAKASEKE,KASANGOMBE
NAKASEKE,KIKAMULO
NAKASEKE,KINONI
NAKASEKE,KINYOGOGA
NAKASEKE,KITO
NAKASEKE,KIWOKO TOWN COUNCIL
NAKASEKE,NAKASEKE
NAKASEKE,NAKASEKE TOWN COUNCIL
NAKASEKE,NGOMA
NAKASEKE,NGOMA TOWN COUNCIL
NAKASEKE,SEMUTO
NAKASEKE,SEMUTO TOWN COUNCIL
NAKASEKE,WAKYATO
BUIKWE,BUIKWE
BUIKWE,BUIKWE TC
BUIKWE,KAWOLO
BUIKWE,LUGAZI TC
BUIKWE,NYENGA
BUIKWE,SSI BUKUNJA
BUIKWE,WAKISI
BUIKWE,LUGAZI TC
BUIKWE,NAJJA
BUIKWE,NAJJEMBE
BUIKWE,NGOGWE
BUIKWE,NJERU TC
BUIKWE,NKOKONJERU TC
BUIKWE,NYENGA
BUKOMANSIMBI,BIGASA
BUKOMANSIMBI,BUKOMASIMBI TOWN COUNCIL
BUKOMANSIMBI,BUTENGA
BUKOMANSIMBI,KIBINGE
BUKOMANSIMBI,KITANDA
BUTAMBALA,BUDDE
BUTAMBALA,BULO
BUTAMBALA,GOMBE TOWN COUNCIL
BUTAMBALA,KALAMBA
BUTAMBALA,KIBIBI
BUTAMBALA,NGANDO
BUVUMA,BUGAYA
BUVUMA,BUSAMUZI
BUVUMA,BUVUMA TC
BUVUMA,BUWOOYA
BUVUMA,BWEEMA
BUVUMA,LUBYA
BUVUMA,LWAJJE
BUVUMA,LYABAANA
BUVUMA,NAIRAMBI
GOMBA,KABULASOKE
GOMBA,KANONI TC
GOMBA,KYEGONZA
GOMBA,MADDU
GOMBA,MPENJA
KALUNGU,BUKULULA
KALUNGU,KALUNGU
KALUNGU,KALUNGU TOWN COUNCIL
KALUNGU,KYAMULIBWA
KALUNGU,LUKAYA TOWN COUNCIL
KALUNGU,LWABENGE
KYANKWANZI,BANANYWA
KYANKWANZI,BUTEMBA
KYANKWANZI,BUTEMBA  TC
KYANKWANZI,GAYAZA
KYANKWANZI,KYANKWANZI
KYANKWANZI,MULAGI
KYANKWANZI,NKANDWA
KYANKWANZI,NSAMBYA
KYANKWANZI,NTWETWE
KYANKWANZI,NTWETWE  TOWN  COUNCIL
KYANKWANZI,WATTUBA
LWENGO,KISEKKA
LWENGO,KKINGO
LWENGO,KYAZANGA
LWENGO,KYAZANGA TC
LWENGO,LWENGO
LWENGO,LWENGO TC
LWENGO,MALONGO
LWENGO,NDAGWE
BUGIRI,BUDHAYA
BUGIRI,BUGIRI TC
BUGIRI,BULESA
BUGIRI,BULIDHA
BUGIRI,BULUGUYI
BUGIRI,BUWUNGA
BUGIRI,IWEMBA
BUGIRI,KAPYANGA
BUGIRI,MUTERERE
BUGIRI,NABUKALU
BUGIRI,NANKOMA
BUSIA,EASTERN DIVISION
BUSIA,WESTERN DIVISION
BUSIA,BUHEHE
BUSIA,BULUMBI
BUSIA,BUSIME
BUSIA,BUSITEMA
BUSIA,BUTEBA
BUSIA,BUYANGA
BUSIA,DABANI
BUSIA,LUMINO
BUSIA,LUNYO
BUSIA,MAJANJI
BUSIA,MASABA
BUSIA,MASAFU
BUSIA,MASINYA
BUSIA,SIKUDA
IGANGA,BUSEMBATIA TOWN COUNCIL
IGANGA,NAWANDALA
IGANGA,NAWANYINGI
IGANGA,BULAMOGI
IGANGA,NABITENDE
IGANGA,NAKALAMA
IGANGA,NAKIGO
IGANGA,NAMBALE
IGANGA,NAMUNGALWE
IGANGA,NAWANDALA
IGANGA,BUSEMBATIA TOWN COUNCIL
IGANGA,BUYANGA
IGANGA,IBULANKU
IGANGA,IGOMBE
IGANGA,MAKUUTU
IGANGA,NAMALEMBA
IGANGA,CENTRAL DIVISION
IGANGA,NORTHERN DIVISION
IGANGA,BULAMOGI
JINJA,MAFUBIRA
JINJA,JINJA CENTRAL DIVISION
JINJA,KIMAKA/MPUMUDDE/NALUFENYA
JINJA,MASESE/WALUKUBA
JINJA,BUDONDO
JINJA,BUTAGAYA
JINJA,BUWENGE
JINJA,BUGEMBE TOWN COUNCIL
JINJA,BUSEDDE
JINJA,KAKIRA TOWN COUNCIL
JINJA,MAFUBIRA
JINJA,BUWENGE
JINJA,BUWENGE TOWN COUNCIL
JINJA,BUYENGO
KAMULI,BALAWOLI
KAMULI,BULOPA
KAMULI,BUTANSI
KAMULI,KAMULI TOWN COUNCIL
KAMULI,KITAYUNJWA
KAMULI,NABWIGULU
KAMULI,NAMASAGALI
KAMULI,NAMWENDWA
KAMULI,BUGULUMBYA
KAMULI,KISOZI
KAMULI,MBULAMUTI
KAMULI,NAWANYAGO
KAMULI,WANKOLE
KAPCHORWA,AMUKOL
KAPCHORWA,KAPTANYA
KAPCHORWA,KAPTERET
KAPCHORWA,KASEREM
KAPCHORWA,KAWOWO
KAPCHORWA,MUNARYA
KAPCHORWA,SIPI
KAPCHORWA,TEGERES
KAPCHORWA,AMUKOL
KAPCHORWA,CHEMA
KAPCHORWA,CHEPTERET
KAPCHORWA,GAMOGO
KAPCHORWA,KABEYWA
KAPCHORWA,KAPCHESOMBE
KAPCHORWA,KAPCHORWA TOWN COUNCIL
KAPCHORWA,KAPSINDA
KAPCHORWA,KAPTANYA
KATAKWI,KAPUJAN
KATAKWI,MAGORO
KATAKWI,TOROMA
KATAKWI,OMODOI
KATAKWI,ONGONGOJA
KATAKWI,NGARIAM
KATAKWI,USUK
KATAKWI,OMODOI
KATAKWI,KATAKWI
KATAKWI,KATAKWI TC
KATAKWI,PALAM
KATAKWI,ONGONGOJA
KUMI,ATUTUR
KUMI,KANYUM
KUMI,KUMI
KUMI,KUMI TC
KUMI,MUKONGORO
KUMI,NYERO
KUMI,ONGINO
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,INDUSTRIAL DIVISION
MBALE,BUBYANGU
MBALE,BUDWALE
MBALE,NORTHERN DIVISION
MBALE,BUDWALE
MBALE,NORTHERN DIVISION
MBALE,BUDWALE
MBALE,NORTHERN DIVISION
MBALE,BUDWALE
MBALE,NORTHERN DIVISION
MBALE,BUDWALE
MBALE,NORTHERN DIVISION
MBALE,BUDWALE
MBALE,NORTHERN DIVISION
MBALE,BUDWALE
MBALE,NORTHERN DIVISION
MBALE,BUDWALE
MBALE,NORTHERN DIVISION
MBALE,BUDWALE
MBALE,NORTHERN DIVISION
MBALE,BUDWALE
MBALE,NORTHERN DIVISION
MBALE,BUDWALE
MBALE,NORTHERN DIVISION
MBALE,BUDWALE
MBALE,NORTHERN DIVISION
MBALE,BUDWALE
MBALE,NORTHERN DIVISION
MBALE,BUDWALE
MBALE,NORTHERN DIVISION
MBALE,BUDWALE
MBALE,NORTHERN DIVISION
MBALE,BUDWALE
MBALE,NORTHERN DIVISION
MBALE,BUDWALE
MBALE,NORTHERN DIVISION
MBALE,BUDWALE
MBALE,NORTHERN DIVISION
MBALE,BUFUMBO
MBALE,WANALE DIVISION
MBALE,BUFUMBO
MBALE,WANALE DIVISION
MBALE,BUFUMBO
MBALE,WANALE DIVISION
MBALE,BUFUMBO
MBALE,WANALE DIVISION
MBALE,BUFUMBO
MBALE,WANALE DIVISION
MBALE,BUFUMBO
MBALE,WANALE DIVISION
MBALE,BUFUMBO
MBALE,WANALE DIVISION
MBALE,BUFUMBO
MBALE,WANALE DIVISION
MBALE,BUFUMBO
MBALE,WANALE DIVISION
MBALE,BUFUMBO
MBALE,WANALE DIVISION
MBALE,BUFUMBO
MBALE,WANALE DIVISION
MBALE,BUFUMBO
MBALE,WANALE DIVISION
MBALE,BUFUMBO
MBALE,WANALE DIVISION
MBALE,BUFUMBO
MBALE,WANALE DIVISION
MBALE,BUFUMBO
MBALE,WANALE DIVISION
MBALE,BUFUMBO
MBALE,BUKASAKYA
MBALE,BUKHIENDE
MBALE,BUSIU
MBALE,BUSOBA
MBALE,LUKHONGE
MBALE,LWASSO
MBALE,NAKALOKE
MBALE,NAKALOKE TC
MBALE,NAMANYONYI
MBALE,NYONDO
MBALE,WANALE
MBALE,BUKHIENDE
MBALE,BUKONDE
MBALE,BUMASIKYE
MBALE,BUMBOBI
MBALE,BUNGOKHO
MBALE,BUNGOKHO MUTOTO
MBALE,BUSANO
MBALE,BUSIU
MBALE,WANALE
PALLISA,BUTEBO
PALLISA,KABWANGASI
PALLISA,KAKORO
PALLISA,KANGINIMA
PALLISA,KIBALE
PALLISA,OPWATETA
PALLISA,PETETE
PALLISA,KAMUGE
PALLISA,KASODO
PALLISA,OLOK
PALLISA,PALLISA
PALLISA,PALLISA TC
PALLISA,PUTI-PUTI
PALLISA,AGULE
PALLISA,AKISIM
PALLISA,APOPONG
PALLISA,CHELEKURA
PALLISA,GOGONYO
PALLISA,KAMEKE
SOROTI,ARAPAI
SOROTI,ASURET
SOROTI,EASTERN DIVISION
SOROTI,NORTHERN DIVISION
SOROTI,WESTERN DIVISION
SOROTI,ASURET
SOROTI,GWERI
SOROTI,KAMUDA
SOROTI,KATINE
SOROTI,SOROTI
SOROTI,TUBUR
SOROTI,EASTERN DIVISION
TORORO,NABUYOGA
TORORO,NAGONGERA
TORORO,NAGONGERA TC
TORORO,PAYA
TORORO,PETTA
TORORO,RUBONGI
TORORO,SOP-SOP
TORORO,KWAPA
TORORO,MALABA TC
TORORO,MELLA
TORORO,MERIKIT
TORORO,MOLO
TORORO,MUKUJU
TORORO,OSUKURU
TORORO,EASTERN DIVISION
TORORO,WESTERN DIVISION
TORORO,IYOLWA
TORORO,KIREWA
TORORO,KISOKO
TORORO,MAGOLA
TORORO,MULANDA
KABERAMAIDO,OTUBOI
KABERAMAIDO,APERIKIRA
KABERAMAIDO,KABERAMAIDO
KABERAMAIDO,KABERAMAIDO TC
KABERAMAIDO,KOBULUBULU
KABERAMAIDO,OCHERO
KABERAMAIDO,ANYARA
KABERAMAIDO,APAPAI
KABERAMAIDO,BULULU
KABERAMAIDO,KAKURE
KABERAMAIDO,KALAKI
KABERAMAIDO,OTUBOI
KABERAMAIDO,ALWA
KABERAMAIDO,APERIKIRA
MAYUGE,MAYUGE TOWN COUNCIL
MAYUGE,MPUNGWE
MAYUGE,WAIRASA
MAYUGE,BAITAMBOGWE
MAYUGE,BUKABOOLI
MAYUGE,BUKATUBE
MAYUGE,BUSAKIRA
MAYUGE,BUWAAYA
MAYUGE,IMANYIRO
MAYUGE,JAGUZI
MAYUGE,KIGANDALO
MAYUGE,KITYERERA
MAYUGE,MALONGO
MAYUGE,MAYUGE TOWN COUNCIL
SIRONKO,BUDADIRI TC
SIRONKO,BUGITIMWA
SIRONKO,BUHUGU
SIRONKO,BUMALIMBA
SIRONKO,BUKHULO
SIRONKO,BUMASIFWA
SIRONKO,BUNYAFA
SIRONKO,BUSULANI
SIRONKO,BUTANDIGA
SIRONKO,BUTEZA
SIRONKO,BUWALASI
SIRONKO,BUWASA
SIRONKO,BUYOBO
SIRONKO,BUKHULO
SIRONKO,BUKIISE
SIRONKO,BUKIYI
SIRONKO,BUKYABO
SIRONKO,BUKYAMBI
SIRONKO,BUMALIMBA
SIRONKO,BUMASIFWA
SIRONKO,BUYOBO
SIRONKO,MASABA
SIRONKO,NALUSALA
SIRONKO,SIRONKO TC
SIRONKO,ZESUI
AMURIA,ABARILELA
AMURIA,AKERIAU
AMURIA,AMURIA TC
AMURIA,APEDURU
AMURIA,ASAMUK
AMURIA,AKOROMIT
AMURIA,KAPELEBYONG
AMURIA,OBALANGA
AMURIA,OKUNGUR
AMURIA,ASAMUK
AMURIA,KUJU
AMURIA,MORUNGATUNY
AMURIA,OGOLAI
AMURIA,ORUNGO
AMURIA,WERA
AMURIA,WILLA
AMURIA,ACOWA
AMURIA,AKOROMIT
BUDAKA,IKI-IKI
BUDAKA,KAMERUKA
BUDAKA,KAMONKOLI
BUDAKA,KATIIRA
BUDAKA,MUGITI
BUDAKA,BUDAKA TOWN COUNCIL
BUDAKA,KACHOMO
BUDAKA,KADERUNA
BUDAKA,KAKULE
BUDAKA,LYAMA
BUDAKA,NABOA
BUDAKA,NANSANGA
BUDAKA,BUDAKA
BUDAKA,IKI-IKI
BUDUDA,BUBIITA.
BUDUDA,BUDUDA TOWN COUNCIL.
BUDUDA,BUDUDA.
BUDUDA,BUKALASI.
BUDUDA,BUKIBOKOLO
BUDUDA,BUSHIRIBO
BUDUDA,BUSHIYI
BUDUDA,BUWALI.
BUDUDA,NABWEYA
BUDUDA,NAKATSI
BUDUDA,NALWANZA
BUDUDA,BUMAYOKA.
BUDUDA,BUSHIKA
BUDUDA,BUSHIRIBO
BUDUDA,BUKIBOKOLO
BUDUDA,BUKIGAI
BUDUDA,BULUKECHEKE
BUDUDA,BUMASHETI
BUDUDA,BUMAYOKA.
BUKEDEA,BUKEDEA
BUKEDEA,BUKEDEA TC
BUKEDEA,KACHUMBALA
BUKEDEA,KIDONGOLE
BUKEDEA,KOLIR
BUKEDEA,MALERA
BUKWO,BUKWO
BUKWO,BUKWO TOWN COUNCIL
BUKWO,CHEPKWASTA
BUKWO,CHESOWER
BUKWO,KABEI
BUKWO,KAMET
BUKWO,KAPTERERWO
BUKWO,KORTEK
BUKWO,RIWO
BUKWO,SENENDET
BUKWO,SUAM
BUKWO,TULEL
BUTALEJA,BUDUMBA
BUTALEJA,NAWEYO
BUTALEJA,BUDUMBA
BUTALEJA,BUSABA
BUTALEJA,BUSABI
BUTALEJA,BUSOLWE
BUTALEJA,BUSOLWE TOWN COUNCIL
BUTALEJA,BUTALEJA
BUTALEJA,BUTALEJA TOWN COUNCIL
BUTALEJA,HIMUTU
BUTALEJA,KACHONGA
BUTALEJA,MAZIMASA
BUTALEJA,NAWANJOFU
BUTALEJA,NAWEYO
KALIRO,BUMANYA
KALIRO,GADUMIRE
KALIRO,KALIRO TC
KALIRO,NAMUGONGO
KALIRO,NAMWIWA
KALIRO,NAWAIKOKE
MANAFWA,BUBUTU
MANAFWA,BUGOBERO
MANAFWA,BUKHABUSI
MANAFWA,BUKHAWEKA
MANAFWA,BUKHOFU
MANAFWA,BUKIABI
MANAFWA,BUKOKHO
MANAFWA,BUTIRU
MANAFWA,BUTTA
MANAFWA,BUWABWALA
MANAFWA,BUWAGOGO
MANAFWA,KAATO
MANAFWA,KHABUTOOLA
MANAFWA,LWAKHAKHA TC
MANAFWA,MAGALE
MANAFWA,MANAFWA TC
MANAFWA,MUKOTO
MANAFWA,NALONDO
MANAFWA,NAMABYA
MANAFWA,NAMBOKO
MANAFWA,SIBANGA
MANAFWA,SISUNI
MANAFWA,TSEKULULU
MANAFWA,WESWA
MANAFWA,BUKOKHO
MANAFWA,BUKUSU
MANAFWA,BUMBO
MANAFWA,BUMWONI
MANAFWA,BUNABWANA
MANAFWA,BUPOTO
MANAFWA,BUSUKUYA
MANAFWA,BUTIRU
NAMUTUMBA,BULANGE
NAMUTUMBA,IVUKULA
NAMUTUMBA,NSINZE
NAMUTUMBA,IVUKULA
NAMUTUMBA,KIBAALE
NAMUTUMBA,MAGADA
NAMUTUMBA,NAMUTUMBA
NAMUTUMBA,NAMUTUMBA TOWN COUNCIL
NAMUTUMBA,NSINZE
BULAMBULI,BUGINYANYA
BULAMBULI,BUKHALU
BULAMBULI,BULAAGO
BULAMBULI,BULAMBULI TC
BULAMBULI,BULEGENI
BULAMBULI,SIMU
BULAMBULI,BULUGANYA
BULAMBULI,BUMASOBO
BULAMBULI,BUMUGIBOLE
BULAMBULI,BUNAMBUTYE
BULAMBULI,BWIKHONGE
BULAMBULI,NABONGO
BULAMBULI,NAMISUNI
BULAMBULI,LUSHA
BULAMBULI,MASIIRA
BULAMBULI,MUYEMBE
BULAMBULI,NAMISUNI
BULAMBULI,SISIYI
BULAMBULI,BULEGENI TC
BULAMBULI,KAMU
BUYENDE,BUGAYA
BUYENDE,BUYENDE
BUYENDE,BUYENDE TOWN COUNCIL
BUYENDE,KAGULU
BUYENDE,KIDERA
BUYENDE,NKONDO
